iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1132.2744,1132.2744,0.0026,586.56
5,1059.5518,1036.7085,0.0162,598.33
10,1066.1858,1019.7796,0.0298,575.89
15,1051.1230,1012.8717,0.0432,588.22
20,1053.7532,1004.5566,0.0569,565.15
25,1052.1060,1002.2849,0.0704,577.61
30,1056.7002,1000.9572,0.0841,555.08
35,1055.2920,999.3050,0.0977,532.18
40,1057.1678,994.1439,0.1115,544.29
45,1054.3877,990.5888,0.1254,521.68
50,1048.0761,990.4118,0.1391,534.24
55,1056.1614,986.4298,0.1527,511.84
60,1051.3134,984.7006,0.1662,524.73
65,1058.3582,984.7006,0.1797,502.06
70,1052.3349,983.8186,0.1932,479.42
75,1049.0169,983.7358,0.2066,492.06
80,1053.8224,983.0397,0.2201,468.98
85,1048.4637,982.5239,0.2337,517.14
90,1046.9561,978.3066,0.2473,565.34
95,1046.4733,977.3481,0.2608,613.42
100,1057.1024,977.3481,0.2717,531.65
