iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,673024.5229,673024.5229,0.1918,1170.09
5,665509.6034,662481.7538,1.1221,1174.79
10,662169.6239,659078.8094,2.0320,1236.19
15,661540.5367,657046.2598,2.9431,1280.38
20,657531.1637,654480.3314,3.8525,1155.08
25,655858.4460,651812.0040,4.7637,1111.25
30,652888.9027,648933.4474,5.6731,1115.08
35,650179.2582,647153.9186,6.5822,1149.56
40,648026.6563,644013.5395,7.4919,1279.45
45,645999.1158,642768.1805,8.4017,1195.64
50,644968.5624,640474.5951,9.3123,1103.48
55,643565.7408,639324.1169,10.2224,1115.73
60,643412.6980,638267.9453,11.1327,1224.60
65,642094.8502,637524.7851,12.0434,1279.22
70,642994.1186,637073.2608,12.9523,1183.50
75,642780.5397,636834.7897,13.8628,1056.58
80,643194.6450,636401.6882,14.7741,1068.19
85,644836.1123,636362.6662,15.6846,1270.14
90,645214.5710,636334.0812,16.5943,1284.94
95,645941.0658,636331.2929,17.5046,1276.05
100,646288.4835,636205.9932,18.2318,1168.51
