seed,best_cost
0,7105.7618
1,7198.3016
2,7121.9099
3,7255.4432
4,7187.6288
5,7183.4735
6,7037.6491
7,7222.4439
8,7008.5855
9,7220.8685
10,7241.3039
11,7189.9983
12,7111.8683
13,7124.3042
14,7233.8195
15,7074.3211
16,7276.3027
17,6947.0213
18,7331.1202
19,7201.8137
20,7251.6846
21,7218.1683
22,7075.2375
23,7164.1165
24,7161.6096
25,7206.9931
26,7183.7723
27,7225.3490
28,7098.1034
29,7326.8445
