iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,933.6802,933.6802,0.0030,555.00
5,933.6504,882.2820,0.0181,526.53
10,933.7555,869.1989,0.0273,532.61
15,923.0721,868.6708,0.0362,539.14
20,934.5148,865.5010,0.0453,545.72
25,932.5223,863.3709,0.0542,551.46
30,936.4878,861.9950,0.0632,557.68
35,927.0706,857.0297,0.0722,563.98
40,934.4109,853.9190,0.0812,499.68
45,932.1550,853.3777,0.0901,540.71
50,931.2435,851.8353,0.0991,511.43
55,930.3914,849.5108,0.1080,553.08
60,926.4563,847.7783,0.1168,558.77
65,934.5881,846.9160,0.1258,529.27
70,931.3010,846.9160,0.1345,535.04
75,930.8845,846.9160,0.1435,540.50
80,933.6437,846.7867,0.1523,546.33
85,937.4799,846.7867,0.1613,516.04
90,923.8559,845.9518,0.1701,592.59
95,924.0590,845.9518,0.1791,492.34
100,928.5294,845.2623,0.1861,531.80
