iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,609423.5467,609423.5467,0.0891,1207.60
5,601845.0274,600756.3900,0.5410,1374.27
10,600197.2148,598810.8188,0.9950,1311.06
15,599192.4308,597606.3438,1.4455,1208.96
20,597940.0641,596570.0731,1.8903,1189.18
25,597829.7193,595752.2880,2.3363,1236.95
30,596920.5922,594951.4585,2.7814,1303.19
35,596534.0437,594302.1449,3.2284,1285.11
40,596178.8541,594040.8379,3.6730,1260.04
45,595391.5334,593373.6843,4.1168,1130.33
50,595239.0746,592823.2168,4.5605,1210.80
55,594786.4440,592489.2666,5.0050,1232.41
60,594429.2549,592027.8066,5.4500,1348.50
65,594328.1659,591796.8739,5.8945,1317.31
70,594451.1969,591493.8724,6.3406,1202.90
75,594294.2522,591272.0759,6.7864,1221.21
80,594309.6057,591245.1851,7.2322,1243.54
85,594182.8074,591147.3918,7.6765,1218.67
90,593711.1016,591044.8661,8.1224,1340.35
95,594286.2309,590950.7335,8.5675,1259.45
100,594197.3589,590932.8756,8.9229,1242.92
