iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,488063.2490,488063.2490,0.0502,1101.54
5,478582.0110,476081.9992,0.2957,1078.03
10,477490.2555,473913.4596,0.5399,1106.99
15,476075.7321,471979.7256,0.7838,1084.42
20,473767.8005,470424.6724,1.0264,1148.12
25,472691.4869,468886.8450,1.2685,1072.03
30,472218.3755,467277.4756,1.5099,1114.03
35,468907.4555,465462.5368,1.7511,1069.59
40,469264.7608,465168.4959,1.9926,1142.47
45,467631.3204,463466.6318,2.2348,1045.65
50,467917.4012,462862.7401,2.4773,1112.32
55,468349.0556,462319.1119,2.7200,1018.27
60,467773.1585,461955.2385,2.9625,1125.88
65,467909.2147,461441.1093,3.2045,1027.84
70,466964.9917,461039.7704,3.4467,1174.02
75,466057.5506,460695.7635,3.6878,1116.44
80,466954.2998,460441.4927,3.9289,1138.76
85,467444.0383,460150.7027,4.1700,1078.91
90,465683.6650,460019.1318,4.4101,1139.90
95,466698.9660,459765.8061,4.6514,1079.07
100,466964.2236,459553.7314,4.8443,1147.45
