iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,944.7560,944.7560,0.0039,426.10
5,933.8167,890.9003,0.0175,438.90
10,928.0985,875.3364,0.0264,431.13
15,932.9402,871.1059,0.0351,467.76
20,936.7727,862.7376,0.0440,456.48
25,927.0188,859.7532,0.0527,410.07
30,925.6721,855.7741,0.0614,475.88
35,933.5585,853.6002,0.0702,434.78
40,927.3098,850.4824,0.0790,417.55
45,934.6953,850.1493,0.0877,406.45
50,934.8806,847.6620,0.0964,442.58
55,936.3471,847.6620,0.1052,449.80
60,926.5868,845.7987,0.1139,442.83
65,941.1763,845.6225,0.1227,420.82
70,938.5690,845.1199,0.1314,427.67
75,937.2437,845.1199,0.1402,450.49
80,935.0096,845.1199,0.1490,427.90
85,936.3610,844.4524,0.1577,464.04
90,930.2412,844.4524,0.1665,416.70
95,943.0133,844.4524,0.1753,428.35
100,924.9345,844.4524,0.1822,451.52
