iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,942.3322,942.3322,0.0009,440.38
5,935.3395,894.1564,0.0057,458.38
10,923.8229,881.7231,0.0105,446.45
15,933.6027,873.6234,0.0153,434.93
20,940.3678,868.5411,0.0200,452.92
25,933.0980,863.5112,0.0248,469.99
30,938.7283,857.2081,0.0296,459.05
35,932.3093,854.5872,0.0344,447.23
40,923.2043,853.1813,0.0392,435.83
45,928.0581,850.6454,0.0440,424.33
50,925.0412,845.7514,0.0488,442.22
55,926.0735,844.4458,0.0536,431.12
60,920.7902,843.4580,0.0583,449.27
65,928.0498,842.0596,0.0631,467.20
70,929.5951,840.4816,0.0679,455.56
75,934.4049,840.4816,0.0727,443.85
80,926.6607,839.1568,0.0775,432.21
85,933.1069,839.0158,0.0823,450.41
90,929.4636,838.4707,0.0871,438.90
95,931.7831,838.4226,0.0918,457.38
100,928.3563,838.4226,0.0957,453.66
