seed,best_cost
0,591464.1017
1,590319.8001
2,591169.7541
3,590665.0029
4,592222.9085
5,588443.4077
6,591405.4081
7,592171.4983
8,589893.5526
9,592091.1745
10,589743.7197
11,592627.6753
12,592046.2199
13,592079.8853
14,590672.5691
15,590165.2084
16,591268.5991
17,589503.4281
18,591440.6892
19,591084.4074
20,591553.3715
21,591866.5822
22,590142.8830
23,591909.3904
24,589977.7711
25,591079.4487
26,591522.1432
27,591826.9629
28,590511.6437
29,589130.6018
