iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,659325.9584,659325.9584,0.1934,1252.53
5,654221.5739,651656.8399,1.1296,1200.74
10,652622.5895,648269.3251,2.2214,1262.38
15,649605.1550,646481.8659,3.5175,1187.10
20,647671.0494,643971.9211,4.8786,1185.36
25,645406.7114,641472.5574,6.2504,1135.21
30,641480.8815,638323.6607,7.5925,1182.33
35,639458.8714,635337.7762,8.9239,1201.26
40,635560.7947,632730.8617,10.2408,1212.72
45,633368.8572,630084.4746,11.5574,1240.90
50,632820.7703,628447.2705,12.8976,1186.90
55,632052.6683,626748.5320,14.2973,1232.70
60,631035.6803,625776.4974,15.7586,1281.88
65,630211.6892,625017.6771,17.2564,1186.86
70,629870.4072,624286.3903,18.8131,1273.51
75,629301.5869,623392.8387,20.3876,1136.76
80,629517.9229,622825.8303,22.0145,1277.30
85,629380.2193,622530.7513,23.6825,1219.34
90,630170.1480,622385.2009,25.3922,1214.96
95,629168.1208,622101.7837,27.1482,1238.49
100,629385.1847,621900.0224,28.5852,1062.47
