iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1139.3044,1139.3044,0.0059,552.61
5,1074.3235,1047.2890,0.0359,546.99
10,1059.2102,1031.1005,0.0661,542.30
15,1065.9250,1013.7448,0.0961,537.90
20,1064.8440,1006.0278,0.1260,533.71
25,1061.1884,1001.2125,0.1558,529.84
30,1061.4059,996.1617,0.1857,525.13
35,1058.8798,995.0052,0.2156,522.06
40,1060.3040,994.7387,0.2455,518.50
45,1051.3599,993.1292,0.2753,550.06
50,1052.1065,991.4378,0.3054,510.83
55,1061.9975,990.2478,0.3353,507.39
60,1054.7747,989.8830,0.3651,539.23
65,1057.3362,988.2769,0.3951,536.51
70,1051.2491,987.9799,0.4252,497.12
75,1053.8747,986.3854,0.4550,600.26
80,1056.4176,986.0197,0.4849,525.81
85,1050.5877,985.7365,0.5149,522.81
90,1060.5744,985.2381,0.5446,590.18
95,1058.3650,984.9929,0.5745,515.07
100,1050.3458,984.4636,0.5984,548.25
