iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,9342.4682,9342.4682,0.0337,566.24
5,7742.2408,7693.1765,0.2010,555.59
10,7757.6965,7569.3284,0.3686,546.07
15,7699.4235,7480.6398,0.5355,574.02
20,7651.0963,7421.8058,0.7028,532.89
25,7620.5675,7375.7056,0.8696,561.41
30,7591.3546,7349.3786,1.0378,518.80
35,7569.4587,7283.5095,1.2044,544.88
40,7561.5013,7258.1745,1.3706,501.08
45,7612.1964,7246.4781,1.5363,635.06
50,7545.2889,7230.7028,1.7023,523.44
55,7573.7696,7222.1170,1.8686,625.12
60,7550.4128,7210.4424,2.0354,546.87
65,7596.3629,7203.9198,2.2031,611.83
70,7550.8987,7196.3941,2.3703,567.11
75,7574.7697,7184.3540,2.5382,596.28
80,7614.7605,7183.5854,2.7050,552.68
85,7558.4580,7175.5744,2.8724,617.35
90,7602.7072,7175.0954,3.0397,572.08
95,7621.7631,7174.4655,3.2073,599.08
100,7584.1764,7172.5811,3.3419,555.67
