iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,609122.3785,609122.3785,0.0793,1305.08
5,602142.1421,601061.1871,0.4827,1216.63
10,600118.8533,598784.4344,0.8873,1238.81
15,599095.0597,597272.1951,1.2876,1215.75
20,598093.9991,596017.6682,1.6837,1179.52
25,597841.9285,595434.9493,2.0806,1201.13
30,596778.9741,594787.4139,2.4773,1308.46
35,596431.7767,594287.6007,2.8747,1303.94
40,595926.3508,593539.0817,3.2725,1311.13
45,594701.9784,592788.7529,3.6700,1267.37
50,594857.3303,592410.2965,4.0678,1261.95
55,594373.1405,592178.7352,4.4657,1218.18
60,594192.1605,591938.6331,4.8626,1175.18
65,594084.9835,591571.4704,5.2597,1233.73
70,594589.3370,591443.5099,5.6564,1280.46
75,594039.3450,591392.6664,6.0527,1338.46
80,594626.5401,591270.3309,6.4481,1245.01
85,594465.2547,591242.8438,6.8441,1290.82
90,594514.2016,591128.5242,7.2413,1247.52
95,594492.0943,591121.4329,7.6382,1254.24
100,594270.6544,590999.9936,7.9555,1316.89
