iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,9305.6173,9305.6173,0.0261,597.21
5,7929.8377,7784.6851,0.1562,605.55
10,7750.9610,7572.8190,0.2864,618.31
15,7695.6691,7473.9846,0.4161,594.64
20,7642.4306,7442.4634,0.5456,568.89
25,7576.8261,7388.8167,0.6754,614.17
30,7649.3138,7355.3417,0.8048,588.72
35,7639.0449,7319.0297,0.9344,562.09
40,7631.1422,7280.0028,1.0639,575.88
45,7605.6334,7259.8821,1.1932,552.06
50,7631.3303,7235.7984,1.3231,490.07
55,7565.3389,7225.0935,1.4528,536.04
60,7601.0728,7217.8725,1.5831,548.15
65,7645.2137,7214.4785,1.7139,521.81
70,7587.8092,7210.6595,1.8443,568.83
75,7576.4804,7197.0794,1.9745,543.58
80,7623.8648,7187.4590,2.1042,587.98
85,7585.2024,7182.8563,2.2348,564.29
90,7562.1355,7174.7776,2.3649,576.56
95,7602.0329,7174.0137,2.4943,587.37
100,7561.4463,7170.3420,2.5979,603.29
