seed,best_cost
0,592797.1320
1,593683.9598
2,593316.8265
3,593889.4310
4,592365.9059
5,593851.1958
6,592823.6122
7,593475.0562
8,592688.5910
9,592624.2717
10,592998.3813
11,592280.8193
12,593418.7447
13,592559.4587
14,592858.9550
15,591988.2172
16,593607.4803
17,592761.1316
18,593391.4052
19,593640.4108
20,593221.8383
21,592670.3473
22,593438.2718
23,593222.5181
24,591891.8307
25,593441.8240
26,593747.8419
27,592979.5698
28,592567.1970
29,592344.5695
