iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1360.8130,1360.8130,0.0002,430.39
5,1189.7867,1163.1938,0.0009,443.35
10,1161.7463,1124.9496,0.0017,456.17
15,1154.1596,1111.8850,0.0025,439.39
20,1160.0780,1100.4191,0.0033,452.94
25,1148.6627,1094.6037,0.0040,436.68
30,1144.0073,1091.6284,0.0048,449.79
35,1156.1251,1087.9837,0.0056,433.74
40,1165.6844,1084.9135,0.0063,446.76
45,1148.9414,1082.3742,0.0070,459.80
50,1151.1348,1079.8842,0.0078,472.15
55,1150.2329,1079.6666,0.0085,456.33
60,1149.8257,1079.1280,0.0093,469.49
65,1145.4453,1076.5690,0.0101,453.43
70,1142.4926,1074.9665,0.0108,436.83
75,1143.7858,1072.4359,0.0116,450.11
80,1150.1646,1068.7274,0.0124,433.81
85,1139.6331,1067.8931,0.0131,446.89
90,1148.1804,1067.5183,0.0139,430.60
95,1146.0226,1067.5183,0.0146,443.54
100,1140.4124,1067.2828,0.0152,425.18
