iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,609436.3722,609436.3722,0.0650,1196.36
5,602024.4266,600898.1067,0.3967,1284.73
10,600231.8166,598238.2737,0.7263,1263.24
15,599196.6589,597271.8025,1.0567,1289.25
20,598171.8905,596220.5685,1.3820,1246.07
25,597940.7099,595698.8633,1.7048,1238.47
30,596610.2116,595114.7182,2.0286,1224.68
35,596032.8517,594113.0694,2.3515,1276.92
40,596037.9842,593705.2058,2.6750,1179.62
45,595290.0881,593168.0835,2.9980,1229.03
50,594917.7777,592759.0620,3.3196,1208.33
55,594708.1133,592142.3238,3.6416,1210.99
60,593881.6495,592007.0888,3.9638,1107.62
65,594500.7411,591819.2186,4.2862,1296.52
70,594267.3900,591643.3578,4.6088,1245.09
75,594219.6132,591454.2563,4.9309,1273.73
80,594167.9390,591296.1495,5.2525,1269.32
85,594872.7392,591241.4290,5.5737,1217.24
90,594220.2607,591074.4294,5.8959,1263.74
95,594189.3190,591026.0616,6.2188,1159.00
100,594269.2645,591023.0024,6.4757,1166.41
