iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,948.2440,948.2440,0.0021,451.82
5,928.7316,893.7446,0.0128,381.32
10,936.1379,878.4183,0.0180,486.42
15,924.8783,872.1135,0.0228,416.02
20,941.2812,866.1107,0.0275,521.04
25,926.2388,864.5261,0.0324,450.96
30,939.7890,859.3372,0.0372,381.08
35,926.1228,856.4774,0.0419,485.63
40,934.9869,854.2463,0.0467,415.58
45,931.5238,852.6143,0.0515,520.82
50,941.0385,851.2726,0.0562,451.05
55,935.7621,850.3488,0.0611,380.94
60,925.9296,850.3488,0.0657,486.14
65,924.2022,848.1066,0.0706,415.88
70,929.8552,846.7134,0.0753,521.16
75,940.5248,846.5141,0.0801,451.35
80,925.4194,846.1497,0.0849,380.87
85,937.8912,846.1497,0.0896,486.67
90,928.8401,843.8074,0.0944,416.73
95,934.0514,843.8074,0.0991,522.00
100,924.9282,843.5981,0.1029,430.86
