iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,613126.9737,613126.9737,0.0671,1367.96
5,604230.2429,603402.4886,0.4057,1484.45
10,602869.3783,601238.4998,0.8292,1445.38
15,601959.9577,600026.2600,1.3786,1427.55
20,601213.0740,599052.2851,1.9965,1360.41
25,601095.1945,598476.1541,2.6545,1540.82
30,600784.5315,597900.9976,3.3292,1391.35
35,600458.1616,597322.9730,4.0178,1377.80
40,599580.5773,596880.4069,4.7084,1506.97
45,599450.1905,596572.8656,5.4036,1269.83
50,598307.5304,596222.8858,6.0931,1437.79
55,598999.5187,595961.8274,6.7794,1459.83
60,598747.5643,595549.0764,7.4782,1526.56
65,598449.0047,595324.9611,8.1971,1504.34
70,598618.6712,595214.5548,8.9279,1468.71
75,599403.4052,595205.4133,9.6785,1462.53
80,599587.9056,595186.4484,10.4444,1378.89
85,599510.3768,595152.8264,11.2229,1555.26
90,599716.6141,595152.8264,12.0196,1414.87
95,600155.3975,595152.8264,12.8327,1336.91
100,600638.5867,595138.6460,13.4888,1314.70
