iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1521.3302,1521.3302,0.0358,745.77
5,1422.5625,1404.8155,0.2153,751.83
10,1415.0823,1390.9992,0.3943,715.41
15,1416.5013,1384.0833,0.5728,745.70
20,1408.0062,1377.2590,0.7519,809.78
25,1408.5417,1372.5286,0.9301,769.12
30,1410.9921,1371.3965,1.1083,760.77
35,1405.8900,1370.3975,1.2866,787.40
40,1405.5803,1367.4911,1.4652,778.97
45,1402.4917,1364.8057,1.6437,804.00
50,1401.5623,1364.4677,1.8225,793.60
55,1403.1132,1363.7527,2.0013,783.71
60,1404.2479,1363.0223,2.1800,771.56
65,1405.9388,1362.7293,2.3580,828.21
70,1400.9112,1362.3948,2.5361,815.30
75,1398.8346,1362.1523,2.7142,765.41
80,1401.7075,1361.9926,2.8933,819.98
85,1400.1035,1360.3535,3.0713,839.73
90,1400.4073,1360.1266,3.2496,822.72
95,1402.9324,1360.1266,3.4285,807.16
100,1407.1588,1360.1266,3.5718,800.93
