iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,10159.8424,10159.8424,0.0196,539.53
5,8184.3755,8096.8664,0.1170,543.19
10,7996.5546,7769.8656,0.2138,546.21
15,7913.5284,7699.1568,0.3103,583.33
20,7886.4220,7621.4021,0.4077,585.03
25,7897.3669,7563.2544,0.5052,553.33
30,7804.9821,7521.3199,0.6020,554.53
35,7872.6450,7489.0220,0.6989,557.73
40,7801.3091,7462.9316,0.7953,525.00
45,7798.3450,7449.2429,0.8919,596.70
50,7791.2086,7435.5264,0.9883,599.22
55,7820.1745,7430.1530,1.0854,565.37
60,7775.2312,7417.8772,1.1821,532.35
65,7795.3715,7400.1423,1.2785,569.33
70,7782.2270,7390.3753,1.3749,535.78
75,7772.5122,7377.4647,1.4713,572.47
80,7773.9285,7376.6734,1.5682,608.83
85,7832.5586,7374.1233,1.6652,611.48
90,7855.7855,7368.3954,1.7622,544.11
95,7787.6557,7352.7467,1.8597,582.17
100,7799.5761,7351.6105,1.9371,583.76
