seed,best_cost
0,852.0254
1,842.9507
2,852.2460
3,841.7808
4,800.1570
5,838.1302
6,848.4257
7,880.9871
8,846.0278
9,826.4667
10,838.3555
11,824.5188
12,858.5978
13,834.1966
14,829.1020
15,830.5581
16,879.2617
17,828.9408
18,832.3946
19,834.1218
20,843.0838
21,836.2224
22,839.0533
23,868.6698
24,874.1949
25,877.0059
26,813.7326
27,869.7554
28,865.7325
29,852.0885
