seed,best_cost
0,638016.5286
1,634558.8067
2,637353.7325
3,633237.5701
4,634870.1655
5,635935.3090
6,633976.6664
7,633529.5037
8,635100.5126
9,636530.4254
10,639456.1778
11,637804.7755
12,637253.8901
13,637122.9591
14,638443.6505
15,639154.3018
16,637046.0551
17,636012.3588
18,635351.3894
19,637017.3039
20,633159.2883
21,636688.1879
22,634248.6763
23,636014.3157
24,634210.8374
25,635013.5052
26,639614.3473
27,636591.0232
28,638267.1083
29,634600.4243
