iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1632.6820,1632.6820,0.0657,787.66
5,1506.2602,1494.2527,0.3985,285.91
10,1504.9765,1473.3700,0.7287,803.51
15,1498.8255,1462.2132,1.0596,333.21
20,1494.0866,1457.0396,1.3891,758.24
25,1497.3573,1454.4087,1.7189,302.50
30,1494.3332,1452.7178,2.0467,682.04
35,1490.4763,1450.6835,2.3757,390.28
40,1489.5722,1449.6816,2.7045,585.92
45,1490.9856,1446.3747,3.0343,908.18
50,1488.4307,1445.2457,3.3634,466.28
55,1483.9268,1442.9146,3.6909,884.96
60,1490.3607,1442.7799,4.0190,332.11
65,1485.4821,1442.1107,4.3471,783.96
70,1491.9654,1441.4226,4.6755,326.53
75,1482.4581,1439.3174,5.0037,640.34
80,1491.8648,1439.3174,5.3302,806.47
85,1489.1849,1438.0767,5.6573,485.24
90,1490.3284,1437.5832,5.9856,857.94
95,1484.3143,1437.5832,6.3132,325.69
100,1491.2265,1437.1213,6.5753,365.58
