iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,960.9099,960.9099,0.0009,154.60
5,925.6762,896.5070,0.0057,156.95
10,935.5094,883.4877,0.0104,159.31
15,943.3819,874.1122,0.0152,151.61
20,940.2253,868.0961,0.0199,153.89
25,951.8723,859.7515,0.0246,156.22
30,938.5738,854.7613,0.0292,158.49
35,941.5622,853.1260,0.0339,160.81
40,930.9641,850.1272,0.0385,163.11
45,943.5965,848.7745,0.0431,155.52
50,930.9443,847.1485,0.0476,157.79
55,944.2384,846.4526,0.0519,160.05
60,942.9763,845.3906,0.0563,152.49
65,931.3624,843.0114,0.0606,154.60
70,930.7616,841.3479,0.0648,157.03
75,942.9931,840.8077,0.0689,159.24
80,932.2517,840.6614,0.0731,141.75
85,926.0082,838.4894,0.0772,143.96
90,939.2267,837.9635,0.0812,146.19
95,931.2634,837.2391,0.0852,148.65
100,933.2097,835.1905,0.0884,148.34
