iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,10220.6829,10220.6829,0.0366,535.50
5,8205.9910,8091.8771,0.2218,508.67
10,8011.4386,7823.1558,0.4063,512.82
15,7979.9423,7663.8795,0.5908,494.93
20,7862.8640,7598.9917,0.7748,406.29
25,7898.8173,7555.3848,0.9595,448.26
30,7869.4020,7515.6258,1.1439,487.31
35,7825.8152,7496.5662,1.3290,527.99
40,7887.0683,7466.2134,1.5146,499.52
45,7815.4254,7433.2152,1.6998,505.36
50,7793.5891,7418.2629,1.8862,532.10
55,7777.4248,7392.9175,2.0712,544.08
60,7812.1098,7380.4292,2.2559,498.08
65,7828.9158,7357.5497,2.4414,513.50
70,7846.1620,7346.2612,2.6269,500.37
75,7805.8257,7337.7323,2.8124,492.96
80,7834.3464,7324.3778,2.9966,469.54
85,7748.9993,7321.3080,3.1805,480.88
90,7806.4797,7321.3080,3.3650,493.64
95,7807.3610,7319.1128,3.5499,545.24
100,7833.2654,7319.1128,3.6974,527.73
