iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,609456.4288,609456.4288,0.0649,1124.20
5,601914.5856,600337.7105,0.3955,1150.72
10,600304.4951,598703.7498,0.7246,1125.68
15,599491.0835,597369.5428,1.0535,1222.31
20,598256.8965,596604.9247,1.3773,1129.83
25,597777.3952,595690.6831,1.7006,1103.97
30,596472.5568,594795.8981,2.0221,1104.70
35,596438.4083,594177.6811,2.3461,1144.00
40,595646.0285,593585.6474,2.6690,1145.66
45,595193.4789,593040.3760,2.9916,1135.89
50,594919.4668,592704.3678,3.3150,1123.69
55,594851.9027,592528.4001,3.6385,1207.40
60,594516.2497,592246.8830,3.9600,1156.39
65,594621.2754,591973.3537,4.2823,1189.76
70,594098.0878,591766.4548,4.6035,1174.66
75,594162.2816,591564.1109,4.9245,1160.78
80,594213.6874,591465.6117,5.2462,1109.54
85,594150.3212,591405.7527,5.5678,1142.51
90,594038.7379,591322.9324,5.8887,1126.89
95,594499.1976,591240.6197,6.2106,1111.81
100,594000.1797,591220.8479,6.4673,1177.34
