iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,9331.6597,9331.6597,0.0371,409.34
5,7814.6071,7697.5097,0.2245,523.09
10,7752.1493,7536.0546,0.4120,638.38
15,7646.4699,7461.3024,0.5996,472.40
20,7643.9258,7383.4732,0.7868,553.67
25,7648.2039,7344.0319,0.9734,598.02
30,7586.9930,7322.2851,1.1600,434.37
35,7538.9465,7291.9470,1.3461,588.71
40,7612.3631,7288.6724,1.5327,599.17
45,7619.2606,7266.1783,1.7193,466.32
50,7612.4149,7244.0959,1.9064,616.29
55,7638.5913,7235.7656,2.0936,588.74
60,7508.1046,7218.6533,2.2803,456.64
65,7626.2611,7205.8802,2.4664,606.49
70,7596.2716,7201.3334,2.6526,580.88
75,7584.5586,7186.5605,2.8391,483.12
80,7589.9334,7181.8546,3.0254,635.50
85,7613.2729,7180.2561,3.2127,500.00
90,7604.4347,7172.8606,3.3993,507.76
95,7581.6159,7172.8606,3.5856,588.84
100,7602.1830,7172.8606,3.7349,524.48
