iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,9309.6174,9309.6174,0.0200,593.66
5,7820.5120,7744.4025,0.1211,532.24
10,7717.4847,7530.3481,0.2220,543.85
15,7649.1614,7443.8374,0.3231,553.51
20,7672.8676,7406.8903,0.4243,564.36
25,7569.3661,7357.1074,0.5257,576.50
30,7577.8200,7307.5758,0.6276,551.26
35,7631.9280,7293.4873,0.7291,561.93
40,7613.5357,7264.5700,0.8303,606.37
45,7541.0177,7241.9154,0.9311,581.67
50,7616.7164,7238.5257,1.0326,592.86
55,7551.2994,7227.5586,1.1340,568.14
60,7541.1426,7223.8830,1.2356,612.34
65,7605.8763,7222.3070,1.3376,588.30
70,7575.0137,7220.0619,1.4390,598.31
75,7567.0431,7209.8838,1.5405,608.63
80,7608.0003,7195.7015,1.6413,584.04
85,7606.6137,7190.4003,1.7427,594.54
90,7570.7138,7183.3251,1.8445,569.14
95,7560.0982,7179.7877,1.9456,578.48
100,7564.9556,7179.7877,2.0270,586.57
