iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,489334.4790,489334.4790,0.0340,963.29
5,479610.6723,477583.5417,0.2043,1013.22
10,477821.4883,474152.7398,0.3739,1007.81
15,475520.1715,472315.8620,0.5437,1016.81
20,475992.3705,470855.5581,0.7133,973.77
25,473801.8957,469757.9101,0.8822,921.93
30,472121.9855,468112.9443,1.0513,1028.53
35,470416.3861,467048.6700,1.2190,982.81
40,470585.8918,465677.9385,1.3870,970.09
45,470281.7075,464934.0900,1.5551,1029.13
50,467973.8269,463893.2573,1.7232,973.22
55,467411.2094,463313.2853,1.8918,956.00
60,468357.3680,462855.2061,2.0604,1046.40
65,468494.3285,462357.3008,2.2282,951.87
70,468398.8931,462128.6123,2.3958,966.79
75,468253.9847,461813.5970,2.5634,1051.96
80,467800.3195,461384.4586,2.7303,954.59
85,468043.5587,461354.1960,2.8977,1040.47
90,467072.4750,461252.6766,3.0654,1018.13
95,468013.0793,461074.1577,3.2324,921.32
100,467732.5040,461003.4187,3.3660,996.38
