iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1173.9255,1173.9255,0.0061,393.28
5,1074.0910,1051.9231,0.0349,447.92
10,1066.4718,1041.9773,0.0637,502.07
15,1072.2397,1033.7821,0.0926,438.60
20,1070.5932,1023.0926,0.1213,434.69
25,1078.5568,1021.9144,0.1500,401.81
30,1073.9716,1020.6417,0.1787,426.89
35,1069.4202,1019.2188,0.2075,482.28
40,1071.9106,1018.5101,0.2361,478.10
45,1072.8360,1015.8069,0.2649,445.80
50,1077.8548,1013.4418,0.2938,412.90
55,1071.8454,1010.6348,0.3226,467.75
60,1069.3804,1010.6348,0.3515,465.00
65,1074.9590,1009.0194,0.3806,461.21
70,1070.7688,1009.0194,0.4094,458.22
75,1063.6561,1008.1328,0.4383,426.19
80,1073.4168,1006.5490,0.4673,481.63
85,1067.8030,1005.3823,0.4962,449.54
90,1073.0683,1004.9731,0.5251,447.28
95,1077.0657,1004.4011,0.5538,444.96
100,1069.4825,1004.2282,0.5768,477.77
