iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1872.4611,1872.4611,0.0619,210.43
5,1661.4903,1646.7098,0.3170,220.59
10,1627.4553,1602.1807,0.5806,228.06
15,1606.4762,1580.2091,0.8341,234.49
20,1592.2413,1558.2669,1.0870,220.55
25,1594.5436,1552.3547,1.3407,215.53
30,1579.3940,1545.2053,1.5801,229.65
35,1583.4728,1540.2606,1.8201,225.04
40,1583.0573,1536.6610,2.0589,228.41
45,1572.3413,1529.2526,2.2982,221.76
50,1569.6361,1528.1637,2.5374,224.01
55,1579.7469,1527.6016,2.7763,216.62
60,1573.6510,1523.7204,3.0152,228.82
65,1569.2179,1519.5339,3.2542,230.20
70,1568.6264,1518.7818,3.4940,241.79
75,1577.5714,1515.7250,3.7328,213.95
80,1572.1137,1514.4268,3.9723,214.76
85,1578.4822,1513.2033,4.2125,215.16
90,1577.4216,1512.8914,4.4519,216.48
95,1581.6443,1510.3514,4.6913,208.74
100,1577.1057,1509.5737,4.8823,242.27
