seed,best_cost
0,8005.1255
1,7838.4952
2,7707.2359
3,7587.6881
4,7972.6164
5,7772.7172
6,7751.0500
7,7881.7504
8,7726.3377
9,7927.5052
10,7893.0282
11,7963.8269
12,7905.5898
13,7498.9709
14,7820.1038
15,7975.8270
16,7910.0819
17,8010.3410
18,7597.3681
19,7861.5497
20,7746.4066
21,7915.4254
22,7955.7800
23,7830.3903
24,7999.4843
25,7844.1124
26,7849.3790
27,7567.4457
28,7618.2861
29,7885.9620
