iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,499937.2957,499937.2957,0.0152,932.11
5,488381.5140,486406.0006,0.0897,904.55
10,486824.2864,482304.0015,0.1632,1013.15
15,484165.5022,480011.7522,0.2367,981.73
20,483523.2519,478287.2052,0.3102,879.82
25,481202.0260,476757.0189,0.3838,1020.38
30,479603.1010,475586.3482,0.4572,952.79
35,477755.8370,474287.4254,0.5309,885.03
40,476688.3048,472597.4606,0.6045,1023.70
45,475967.3335,471490.7204,0.6784,954.61
50,475685.5276,470690.6713,0.7517,885.83
55,474637.9158,469371.5210,0.8246,1013.69
60,474488.0445,468666.6663,0.8978,931.78
65,473635.3403,467971.3245,0.9709,952.54
70,474214.2359,467701.8927,1.0439,975.12
75,473919.5283,467657.5959,1.1168,892.41
80,475028.7561,467657.5959,1.1899,1018.91
85,474369.2957,467333.9377,1.2630,936.74
90,473724.6283,466946.2896,1.3359,958.13
95,474332.9367,466806.9645,1.4087,979.71
100,473600.1905,466686.2572,1.4669,997.82
