iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,609841.4893,609841.4893,0.0667,1281.03
5,602263.2281,601249.2653,0.4012,1262.06
10,599891.8925,598754.2564,0.7353,1346.56
15,599326.8459,597362.4009,1.0679,1229.11
20,598128.1976,596229.2944,1.3952,1218.70
25,597727.7934,595495.9970,1.7222,1207.80
30,596565.2737,594946.1218,2.0479,1173.42
35,596677.2989,594338.9536,2.3743,1193.06
40,595982.3960,593775.3458,2.7000,1254.71
45,595343.8966,593227.1717,3.0263,1151.17
50,595346.8701,592956.6529,3.3521,1259.75
55,594882.8405,592547.8552,3.6782,1366.70
60,594249.2566,592274.6909,4.0028,1183.37
65,593969.0534,591549.5605,4.3274,1239.70
70,594415.8088,591266.4158,4.6533,1329.45
75,593972.3843,591197.9482,4.9800,1236.97
80,593459.1018,591005.4917,5.3047,1150.28
85,594013.7010,590797.9447,5.6301,1256.45
90,593920.3834,590622.2916,5.9546,1262.15
95,594137.6086,590615.3021,6.2786,1203.57
100,594274.8909,590572.0491,6.5391,1283.58
