seed,best_cost
0,983.0018
1,977.4827
2,972.8191
3,1006.1848
4,991.7918
5,967.6259
6,945.4498
7,969.0458
8,977.0184
9,989.7069
10,978.5101
11,997.0116
12,985.0242
13,988.4087
14,982.3586
15,974.6393
16,978.1153
17,958.8025
18,983.7161
19,962.4659
20,982.8473
21,992.3416
22,981.2241
23,981.7127
24,970.9334
25,965.1027
26,970.6560
27,968.2269
28,976.8735
29,961.3469
