iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,498907.2989,498907.2989,0.0862,637.29
5,490787.0726,488616.4260,0.5056,636.22
10,488856.2621,485505.3863,0.9187,609.52
15,487009.5636,483684.5613,1.3446,607.74
20,486286.2429,482557.0910,1.7575,643.72
25,484278.6846,480711.7960,2.1689,612.59
30,483183.1422,478940.9681,2.5825,654.17
35,482908.0618,477686.6223,2.9965,651.06
40,481008.7245,476394.4329,3.4111,596.52
45,480294.2259,475343.2710,3.8286,624.94
50,479234.4979,474277.9520,4.2471,655.98
55,480563.5721,473848.3750,4.6666,602.05
60,478717.1008,473287.7497,5.0876,644.29
65,479192.0530,472591.9709,5.5092,591.36
70,479460.4106,472581.6944,5.9301,606.39
75,479129.5938,472158.2456,6.3501,618.57
80,479199.4651,471653.7296,6.7706,653.19
85,477776.0265,471465.6604,7.1912,647.67
90,479630.3727,471365.5269,7.6129,618.70
95,478582.2759,471339.8622,8.0326,654.41
100,478334.6238,471300.4948,8.3695,636.43
