iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,655462.7649,655462.7649,0.2476,1344.50
5,650190.2193,647610.9557,1.4721,1455.15
10,647290.2950,644596.9144,2.6682,1493.94
15,645488.4920,642290.1711,3.8607,1589.69
20,643038.5997,639732.6018,5.0505,1443.62
25,641800.5071,637228.8724,6.2429,1578.54
30,638974.4808,634778.4290,7.4407,1359.24
35,635582.7166,631969.8811,8.6373,1422.37
40,633739.8079,629516.7262,9.8298,1550.95
45,630646.6527,627723.6286,11.0192,1550.57
50,628499.0608,626264.6289,12.2112,1544.14
55,628533.2347,623952.5287,13.4008,1445.27
60,626622.4340,622530.5788,14.5938,1566.93
65,625635.4882,621298.0609,15.7867,1315.27
70,626625.6217,620681.0859,16.9763,1267.13
75,625114.4994,620207.2642,18.1678,1477.37
80,624718.3235,619927.5556,19.3581,1548.39
85,625440.3739,619305.8774,20.5502,1579.87
90,625039.8328,618714.0489,21.7418,1308.57
95,624132.8105,618549.2807,22.9350,1545.00
100,624710.0996,618510.1602,23.8898,1587.32
