seed,best_cost
0,995.9094
1,982.8730
2,954.2769
3,985.0657
4,978.3976
5,976.0613
6,964.6783
7,1007.0692
8,1004.4652
9,998.3795
10,988.2630
11,982.3707
12,980.0699
13,976.0904
14,948.3903
15,991.1782
16,998.7099
17,977.7244
18,1007.5944
19,987.1400
20,985.7416
21,990.3575
22,983.4401
23,983.9557
24,978.1582
25,997.0386
26,976.9429
27,970.9849
28,974.9252
29,999.8543
