iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,487038.8094,487038.8094,0.0477,1278.15
5,478202.3192,476237.0063,0.2840,1314.34
10,476882.7449,473529.1513,0.5209,1290.76
15,475230.1509,471123.0683,0.7565,1364.55
20,473730.4177,469412.0285,0.9916,1378.14
25,473156.4182,468572.3844,1.2262,1327.25
30,471253.5819,467026.1344,1.4606,1278.49
35,470668.0104,465672.8881,1.6945,1299.42
40,469183.1166,464548.1248,1.9272,1386.49
45,468372.1443,463484.5637,2.1599,1288.57
50,467679.2154,462892.9342,2.3932,1380.95
55,467330.5204,462148.2696,2.6271,1358.13
60,466780.2792,461568.9688,2.8600,1403.90
65,467172.8086,461071.3643,3.0928,1340.55
70,466789.2622,460741.2382,3.3262,1303.40
75,466042.7915,460601.2414,3.5595,1350.79
80,466857.1092,460423.1292,3.7924,1358.56
85,466793.5714,460229.1814,4.0260,1333.44
90,467092.6763,460134.3322,4.2592,1389.50
95,466852.5729,459950.6695,4.4923,1396.27
100,465585.5549,459704.9324,4.6797,1309.08
