seed,best_cost
0,843.0758
1,830.5734
2,831.0985
3,831.2784
4,843.1954
5,822.4163
6,845.7722
7,842.6280
8,839.1604
9,822.8168
10,823.0522
11,831.3980
12,822.4199
13,837.4969
14,820.9183
15,862.3542
16,843.6912
17,836.2086
18,842.5202
19,825.9367
20,850.5753
21,817.0905
22,840.1916
23,829.9672
24,857.4542
25,834.0378
26,833.0888
27,839.6620
28,819.7410
29,835.8943
