iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,672883.4340,672883.4340,0.1918,1212.44
5,664890.8309,662471.2848,1.1227,1282.67
10,662831.9558,658596.3621,2.1491,1116.94
15,661856.0249,656665.9607,3.3875,1241.09
20,658184.1212,654807.8728,4.7173,1241.56
25,657287.7316,652691.9363,6.0750,1098.95
30,653322.8773,650299.4585,7.4399,1245.27
35,651309.7415,647238.0558,8.7851,1357.97
40,648354.7023,645466.2525,10.1052,1344.56
45,646906.6592,643541.8705,11.4512,1251.82
50,644850.8779,641109.1316,12.8300,1316.17
55,643894.9506,639717.4961,14.2217,1220.04
60,644737.2930,638832.7683,15.6944,1331.52
65,643728.4447,638463.4901,17.2332,1189.06
70,644255.6154,637794.4048,18.8169,1258.95
75,645569.3568,637332.0862,20.4455,1309.21
80,644781.4801,637001.9655,22.1380,1222.48
85,644610.3717,636638.9947,23.8837,1223.70
90,646443.8784,636638.9947,25.6925,1248.41
95,647983.3023,636638.9947,27.5454,1242.66
100,648378.4028,636630.0379,29.0493,1228.31
