iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,489331.0428,489331.0428,0.0489,884.71
5,480784.4805,477797.9632,0.2881,842.04
10,477318.6286,475294.1956,0.5265,810.81
15,477322.3400,473220.3141,0.7642,858.85
20,475657.3016,471422.2707,0.9989,820.15
25,473380.2207,469381.7274,1.2335,841.91
30,473756.1861,468549.5272,1.4687,818.97
35,471505.6850,467747.4272,1.7039,828.55
40,471202.5680,466649.5021,1.9388,833.94
45,469200.3092,464873.4828,2.1736,752.99
50,469422.1759,464414.4699,2.4079,865.23
55,468567.3922,463578.8478,2.6429,824.40
60,468314.3807,462959.9123,2.8776,775.49
65,468403.4040,462356.8550,3.1118,879.76
70,468686.1410,461814.9149,3.3462,785.06
75,468926.5780,461432.9860,3.5793,848.90
80,468018.4872,461221.5728,3.8134,837.74
85,467588.7541,460702.7413,4.0477,783.27
90,467474.2047,460462.4052,4.2814,768.83
95,467849.3141,460397.0451,4.5156,875.47
100,467394.2719,460303.2387,4.7032,887.12
