iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1878.7267,1878.7267,0.0021,588.69
5,1663.6299,1645.1455,0.0142,594.45
10,1626.3828,1602.5498,0.0264,565.59
15,1607.9098,1577.5550,0.0385,605.87
20,1604.7373,1564.9823,0.0507,576.75
25,1592.5585,1552.9586,0.0629,582.74
30,1585.7209,1542.0087,0.0750,588.04
35,1582.7651,1538.8390,0.0872,594.12
40,1577.3750,1532.2412,0.0994,599.85
45,1575.6796,1528.6039,0.1115,570.98
50,1578.1421,1525.1190,0.1237,611.18
55,1575.1942,1524.5281,0.1359,582.37
60,1580.8858,1523.0313,0.1480,588.32
65,1574.4179,1519.6543,0.1603,559.33
70,1570.6014,1518.4550,0.1723,599.62
75,1582.1926,1516.7870,0.1845,605.12
80,1573.6792,1516.1373,0.1966,575.64
85,1577.5273,1515.2489,0.2086,616.19
90,1581.1904,1513.9464,0.2207,587.20
95,1581.4331,1513.9464,0.2327,593.20
100,1576.8354,1513.9464,0.2424,611.36
