iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1137.0159,1137.0159,0.0032,558.92
5,1061.7300,1033.0533,0.0199,502.11
10,1066.8540,1023.7453,0.0367,586.64
15,1059.7219,1011.7496,0.0533,530.50
20,1055.0541,1006.0165,0.0701,473.99
25,1061.4598,1004.2328,0.0869,594.09
30,1053.2010,998.5896,0.1035,502.75
35,1054.9703,996.9776,0.1201,516.76
40,1055.3618,994.1738,0.1368,566.88
45,1051.3947,992.9670,0.1536,510.90
50,1053.7727,991.9696,0.1703,526.02
55,1053.7236,991.8136,0.1869,576.50
60,1048.1517,990.5324,0.2036,520.68
65,1055.6634,989.9877,0.2205,534.85
70,1051.0301,989.1209,0.2373,549.34
75,1044.9657,987.7705,0.2543,493.99
80,1053.1076,986.2190,0.2711,579.04
85,1052.4855,984.5277,0.2878,558.12
90,1053.4464,982.7033,0.3046,502.29
95,1057.2942,982.5536,0.3211,587.39
100,1047.4703,982.3273,0.3345,563.83
