iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,489903.5026,489903.5026,0.0150,1054.22
5,480793.7642,479312.7063,0.0884,1066.93
10,477986.6494,475420.9717,0.1610,1140.59
15,476357.2168,473260.7457,0.2336,1089.55
20,475584.4804,471532.5693,0.3061,1033.42
25,474451.9989,470059.2274,0.3783,1172.51
30,473427.8440,468781.7772,0.4507,1049.32
35,471115.7529,467366.1701,0.5229,1185.96
40,470758.3844,465845.3084,0.5953,1150.94
45,469149.5407,464781.6932,0.6679,1058.34
50,468780.3223,464062.5489,0.7406,1082.16
55,468705.4735,463440.0927,0.8129,1069.57
60,468157.3307,462778.8789,0.8849,1121.62
65,467476.4473,461925.5453,0.9570,1176.40
70,467706.2092,461539.9365,1.0289,1138.53
75,468276.3389,461309.0190,1.1009,1072.92
80,467927.9328,460909.2171,1.1728,966.46
85,467943.4533,460857.7650,1.2447,1105.09
90,467190.0491,460373.1566,1.3166,1081.56
95,467591.8676,460315.0891,1.3887,1071.90
100,467990.4045,460133.5670,1.4462,1092.43
