iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1517.4582,1517.4582,0.0471,742.41
5,1418.8445,1402.8977,0.2844,767.60
10,1421.4760,1391.3587,0.5209,747.60
15,1418.2267,1384.6853,0.7579,759.13
20,1414.0823,1380.2293,0.9938,772.09
25,1411.1257,1377.2917,1.2295,747.00
30,1407.3426,1374.3520,1.4654,791.61
35,1407.9490,1372.6384,1.7015,728.91
40,1409.3333,1371.1664,1.9373,735.70
45,1407.5672,1370.5989,2.1731,741.86
50,1402.9606,1368.7231,2.4087,782.24
55,1403.7355,1367.8718,2.6445,751.29
60,1407.4275,1367.1994,2.8808,754.79
65,1405.9697,1366.5677,3.1169,720.99
70,1401.6026,1365.3100,3.3524,756.13
75,1400.6736,1365.0252,3.5879,755.53
80,1401.2277,1364.8745,3.8238,718.17
85,1403.4427,1364.3298,4.0595,753.02
90,1403.7033,1364.0034,4.2959,750.93
95,1404.2230,1362.9992,4.5320,782.85
100,1403.8293,1362.7355,4.7229,772.18
