iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,956.4992,956.4992,0.0001,204.19
5,952.8311,899.6781,0.0007,207.70
10,932.8532,885.6136,0.0012,212.14
15,937.9152,878.5237,0.0017,215.63
20,939.5942,874.5206,0.0023,219.59
25,945.5842,871.3546,0.0028,223.38
30,942.2623,869.1701,0.0033,227.14
35,942.1141,865.9969,0.0038,231.13
40,944.5436,862.6493,0.0043,234.74
45,933.3994,858.2975,0.0048,238.71
50,938.0023,855.0010,0.0053,242.20
55,947.2951,855.0010,0.0058,246.28
60,935.5377,854.8179,0.0063,249.86
65,934.7445,853.4131,0.0067,253.82
70,949.3410,852.1827,0.0073,242.35
75,937.7883,850.0670,0.0079,215.81
80,945.8757,847.3866,0.0084,204.36
85,946.9834,846.4237,0.0089,196.12
90,938.3140,846.1098,0.0094,199.44
95,946.9854,845.4966,0.0099,203.30
100,949.9125,845.2928,0.0102,206.51
