iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1375.4619,1375.4619,0.0037,157.96
5,1192.6466,1178.1328,0.0228,141.13
10,1172.5486,1145.4660,0.0407,163.74
15,1176.6923,1134.0129,0.0580,156.57
20,1176.5623,1123.6650,0.0746,149.33
25,1171.6789,1118.9088,0.0903,162.19
30,1168.5089,1113.5336,0.1053,155.01
35,1152.6489,1108.8667,0.1199,147.77
40,1172.6547,1103.9908,0.1343,160.37
45,1161.5565,1101.8751,0.1486,153.08
50,1157.2748,1097.3999,0.1628,145.86
55,1165.4978,1095.5720,0.1774,158.40
60,1173.6643,1095.3753,0.1923,151.14
65,1175.0520,1095.2774,0.2078,144.01
70,1161.6930,1093.4450,0.2233,156.38
75,1168.3247,1092.5492,0.2390,149.12
80,1165.4540,1091.8316,0.2548,151.86
85,1163.8525,1090.0573,0.2706,154.54
90,1162.4909,1089.9722,0.2861,147.24
95,1160.4414,1089.3773,0.3014,159.84
100,1163.2723,1088.9610,0.3137,161.95
