iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1009.0207,1009.0207,0.0003,163.46
5,986.1014,942.6218,0.0012,157.39
10,971.1739,922.5784,0.0018,160.75
15,971.5477,909.8852,0.0023,163.75
20,982.9665,902.3802,0.0029,166.08
25,971.6561,900.7318,0.0035,169.46
30,960.0764,897.7388,0.0040,172.99
35,963.5223,896.9864,0.0046,164.45
40,963.3052,894.9192,0.0051,167.98
45,965.7939,894.3478,0.0056,171.53
50,968.2324,890.9117,0.0062,175.17
55,964.3977,890.9117,0.0067,178.80
60,960.3453,890.5855,0.0072,182.08
65,970.2673,890.5855,0.0078,173.85
70,975.5788,889.7095,0.0083,175.96
75,960.7615,889.6662,0.0088,178.81
80,962.6994,888.9515,0.0093,182.37
85,956.8567,888.0267,0.0099,185.50
90,950.9190,887.6178,0.0104,180.40
95,960.6928,887.1829,0.0110,161.87
100,963.9463,885.4798,0.0114,164.90
