iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,654342.2425,654342.2425,0.2467,1160.42
5,650871.7564,647632.5326,1.4574,1214.88
10,648130.2814,645313.2064,2.6577,1305.89
15,645950.4120,642352.2204,3.8558,1053.14
20,644550.2493,640084.1653,5.0559,1124.52
25,640910.1553,637877.9241,6.2544,1213.53
30,639161.6951,635218.1117,7.4554,1147.08
35,635446.1109,632311.0002,8.6554,1030.10
40,632211.9212,629007.9901,9.8552,1006.34
45,630646.4806,626883.4764,11.0559,1295.54
50,629514.8155,624841.8314,12.2541,1316.33
55,627385.7367,623356.4320,13.4547,1112.34
60,627086.8371,622459.4327,14.6521,995.99
65,624593.9670,621291.1736,15.8512,1120.67
70,624694.4427,620161.9884,17.0494,1165.70
75,625436.5904,619722.8589,18.2468,1207.67
80,623915.6858,619218.7954,19.4438,1074.25
85,624110.3775,618604.3521,20.6426,1168.25
90,625028.5342,618222.0834,21.8434,1293.08
95,625569.5235,618002.8120,23.0429,1300.86
100,625671.1772,617632.2811,24.0019,1218.48
