iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,612620.0828,612620.0828,0.0570,1120.89
5,604178.7654,603116.2651,0.3465,1070.32
10,602434.1612,600963.4958,0.6350,1348.97
15,601094.4356,599310.3386,0.9235,1188.68
20,599915.0485,598178.3877,1.2076,1205.25
25,599095.5571,597253.4257,1.4903,1008.45
30,598305.7693,596480.5529,1.7739,1136.53
35,598350.9267,595916.6838,2.0555,1167.58
40,597068.4507,595380.4542,2.3385,1152.89
45,596825.2630,594969.3552,2.6212,1326.54
50,596427.9550,594409.8317,2.9033,1167.39
55,596194.4039,593974.4456,3.1847,1359.42
60,596117.3792,593799.3614,3.4665,1093.33
65,596340.6665,593713.3136,3.7483,1068.97
70,595807.4777,593484.6967,4.0298,1099.86
75,595949.8986,593432.9493,4.3119,1082.95
80,596258.6760,593312.9475,4.5933,1294.78
85,596567.5205,593179.6388,4.8756,1135.95
90,596329.4443,593149.2306,5.1569,1453.85
95,596662.2257,593097.2692,5.4384,1183.42
100,596697.0579,593018.2265,5.6638,1141.34
