iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,922.9903,922.9903,0.0008,535.29
5,919.3519,872.2134,0.0050,555.01
10,936.7914,863.3449,0.0093,539.91
15,920.9598,860.3416,0.0135,524.48
20,924.7978,856.3842,0.0178,544.26
25,928.2285,852.2586,0.0220,528.92
30,938.8108,850.4047,0.0262,513.55
35,936.2558,847.8252,0.0304,533.82
40,922.8241,846.1029,0.0346,553.24
45,934.9243,846.1029,0.0389,573.24
50,928.0819,843.9523,0.0430,557.85
55,933.8846,841.7985,0.0472,542.62
60,921.8651,840.5737,0.0515,561.97
65,935.1701,839.8529,0.0558,510.98
70,933.1846,839.8529,0.0599,566.40
75,925.0129,839.8529,0.0642,550.87
80,927.4824,839.4614,0.0685,535.32
85,939.0352,837.5363,0.0727,554.55
90,925.0775,837.5363,0.0770,503.70
95,920.7912,833.1464,0.0811,523.05
100,921.9157,833.0511,0.0845,560.66
