iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1515.0809,1515.0809,0.0363,811.19
5,1424.8944,1401.0749,0.2177,826.79
10,1415.7123,1381.8751,0.3991,800.54
15,1418.9575,1378.8873,0.5802,807.18
20,1416.7521,1372.7724,0.7617,812.30
25,1402.8911,1369.0301,0.9421,817.08
30,1405.5308,1366.7140,1.1230,820.98
35,1399.3639,1365.8485,1.3034,825.03
40,1402.0233,1364.6452,1.4840,791.16
45,1401.8581,1363.3359,1.6652,793.26
50,1402.9497,1363.0317,1.8463,793.28
55,1408.1079,1362.5477,2.0269,792.21
60,1406.2293,1362.4171,2.2075,791.04
65,1400.6889,1362.2113,2.3881,789.39
70,1398.3253,1362.2049,2.5682,856.95
75,1399.2867,1360.5817,2.7488,783.12
80,1397.9786,1360.1353,2.9291,814.38
85,1402.2401,1359.5960,3.1099,810.00
90,1398.3643,1359.3102,3.2910,805.92
95,1406.5633,1358.9335,3.4716,836.38
100,1403.9100,1358.9335,3.6166,789.83
