iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,654325.8721,654325.8721,0.3048,1747.42
5,649393.7868,647296.9678,1.7999,1897.27
10,648943.1863,644521.6837,3.2488,1638.32
15,646224.9374,642072.6340,4.6949,1696.48
20,643571.4530,640224.8926,6.1447,1780.63
25,641081.2713,637021.1346,7.5986,1671.33
30,638580.8803,635419.5242,9.0491,1592.23
35,635233.4685,632323.3852,10.4956,1594.65
40,633443.5265,630415.7945,11.9450,1685.83
45,631084.6244,627839.4101,13.3924,1704.48
50,629238.0082,625205.3334,14.8420,1825.73
55,627570.5388,623780.8146,16.2922,1544.59
60,626244.7214,622415.8747,17.7412,1570.53
65,626528.6989,621659.0683,19.1930,1679.51
70,626047.8685,621012.7587,20.6411,1797.90
75,625115.1342,620187.4611,22.0879,1646.09
80,624687.7865,619368.6148,23.5357,1612.65
85,625302.7150,619038.1758,24.9866,1529.96
90,624748.7369,618759.0188,26.4391,1755.47
95,624703.9871,618492.9239,27.8885,1772.17
100,625320.9417,617983.1784,29.0486,1726.27
