iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,659300.3748,659300.3748,0.1936,1120.08
5,654455.5215,651403.5625,1.1311,1124.11
10,651911.4023,648345.8983,2.0513,1238.57
15,649333.9863,645970.8693,2.9714,1144.95
20,646892.8476,643377.1786,3.8922,1141.59
25,644621.1997,640871.0366,4.8120,1160.05
30,641510.3482,637654.8011,5.7325,1191.17
35,638516.5589,634860.6526,6.6538,1094.94
40,635338.1687,631821.0068,7.5750,1135.11
45,633232.2448,629750.2799,8.4977,1247.84
50,631377.2518,628063.6698,9.4175,1245.44
55,630587.8152,625925.8241,10.3384,1143.24
60,629170.6490,624710.0836,11.2588,1214.10
65,628372.5096,623077.8283,12.1788,1204.98
70,628163.8417,622601.4410,13.0989,1158.03
75,627882.2897,622092.3065,14.0196,1151.40
80,627648.0572,621755.6796,14.9395,1261.06
85,627746.9962,621658.5012,15.8587,1166.30
90,628583.6774,621360.9238,16.7787,1118.28
95,628253.3900,621244.1796,17.6966,1239.34
100,627466.0972,621124.2844,18.4341,1144.98
