iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,655093.3173,655093.3173,0.2835,1745.18
5,649063.4549,646660.9294,1.6753,1879.13
10,647678.1695,644354.3541,3.0400,1629.11
15,646375.7692,643039.2990,4.3959,1659.20
20,644222.4232,640802.0169,5.7536,1858.43
25,639811.9453,637117.1429,7.1119,1813.75
30,637736.4459,634380.9528,8.4705,1680.48
35,635095.2633,631749.3539,9.8291,1714.98
40,633175.2781,629183.0520,11.1859,1716.73
45,629871.9488,626689.3392,12.5447,1612.68
50,628831.8027,624755.8912,13.9079,1808.62
55,627597.2150,623421.7309,15.2680,1735.56
60,626507.3667,621864.2851,16.6263,1859.15
65,625385.4494,620624.3571,17.9875,1705.39
70,625494.8927,620195.3998,19.3454,1724.36
75,625945.5365,619522.8673,20.7017,1645.06
80,625203.3699,619014.2071,22.0605,1753.27
85,624706.3693,618671.3900,23.4161,1625.55
90,625373.3402,618481.0813,24.7724,1707.54
95,625368.1170,618398.2144,26.1288,1824.28
100,624321.9059,618297.7213,27.2165,1817.94
