iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1576.6000,1576.6000,0.0579,288.40
5,1452.4902,1437.5558,0.3235,286.42
10,1446.5765,1413.2437,0.5819,285.04
15,1430.1171,1403.6026,0.8469,314.53
20,1423.6509,1395.5937,1.1145,296.55
25,1421.5248,1391.5427,1.3829,277.11
30,1418.3401,1386.1430,1.6502,291.55
35,1412.5336,1382.3309,1.9181,266.31
40,1406.8037,1376.2390,2.1863,289.35
45,1399.0870,1372.5793,2.4546,290.59
50,1404.6541,1369.0347,2.7223,293.40
55,1406.3492,1367.4889,2.9907,277.57
60,1405.9925,1365.4873,3.2589,300.92
65,1400.9106,1363.1724,3.5280,284.60
70,1403.5261,1362.1818,3.7965,287.61
75,1400.9717,1360.8745,4.0648,310.54
80,1399.4298,1359.6182,4.3327,273.90
85,1402.8921,1357.8394,4.6000,306.84
90,1399.5345,1357.3029,4.8691,270.18
95,1394.1853,1357.0241,5.1360,303.24
100,1395.6913,1357.0241,5.3511,270.65
