iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1194.7524,1194.7524,0.0039,162.04
5,1108.4066,1078.0460,0.0237,156.21
10,1106.0436,1061.9471,0.0422,150.33
15,1094.8143,1055.6460,0.0591,153.92
20,1096.1120,1051.1037,0.0752,157.88
25,1093.2928,1046.4174,0.0903,151.78
30,1107.0749,1044.2598,0.1050,155.60
35,1091.0285,1040.8569,0.1195,149.51
40,1099.6353,1040.1941,0.1338,143.39
45,1091.9413,1037.0018,0.1484,157.17
50,1085.8837,1033.6930,0.1630,151.08
55,1090.1303,1033.3092,0.1777,165.01
60,1093.4539,1030.2021,0.1927,148.93
65,1096.0805,1028.9225,0.2079,152.76
70,1087.4721,1027.8784,0.2231,156.75
75,1091.3052,1026.9955,0.2382,150.50
80,1090.1683,1022.1423,0.2529,144.51
85,1090.2325,1020.1365,0.2676,148.26
90,1082.7633,1019.6249,0.2826,152.17
95,1080.6695,1017.9716,0.2980,156.05
100,1096.7402,1017.4332,0.3103,159.12
