iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,487816.9413,487816.9413,0.0317,1161.66
5,478576.9088,476721.0461,0.1906,1237.28
10,476171.4679,473326.7162,0.3493,1221.85
15,475166.5183,470862.0336,0.5075,1279.95
20,473543.5450,468628.0858,0.6651,1254.53
25,473388.2477,467707.0363,0.8226,1265.98
30,471020.6414,466717.7353,0.9797,1219.61
35,470174.3808,465768.1783,1.1363,1202.39
40,469624.7378,464376.7752,1.2922,1186.02
45,468194.0197,463957.1382,1.4484,1238.12
50,467936.2275,463120.7965,1.6047,1213.69
55,468028.5468,462839.4842,1.7609,1303.00
60,467384.8616,462200.9116,1.9176,1243.36
65,467059.5493,461435.2690,2.0747,1184.99
70,466881.7712,461083.1964,2.2315,1127.38
75,465771.5738,460792.8657,2.3881,1176.35
80,465284.1983,460124.8788,2.5448,1185.16
85,466670.6072,459934.0639,2.7013,1198.26
90,466291.4678,459877.0894,2.8576,1248.66
95,466993.7521,459531.6591,3.0142,1191.05
100,466041.4429,459385.9601,3.1392,1222.77
