iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,12209.8733,12209.8733,0.0285,170.13
5,9179.3217,9039.2775,0.1569,163.65
10,8749.6991,8623.1649,0.2741,156.89
15,8614.1401,8405.9313,0.3925,159.76
20,8622.8512,8310.5952,0.5153,162.11
25,8592.9159,8189.6800,0.6420,164.51
30,8621.5000,8137.9020,0.7656,156.23
35,8451.0555,8094.5728,0.8887,147.59
40,8434.4513,8059.3627,1.0174,168.58
45,8423.9537,7991.0026,1.1413,169.59
50,8450.7469,7985.5914,1.2643,170.80
55,8355.2309,7948.8624,1.3838,151.24
60,8442.4083,7927.9123,1.5046,151.46
65,8465.3001,7924.5790,1.6259,161.68
70,8473.5012,7890.8740,1.7436,171.86
75,8379.3578,7875.5696,1.8618,172.16
80,8425.8953,7873.9008,1.9789,162.33
85,8359.9622,7863.2970,2.0963,152.18
90,8351.2066,7841.4194,2.2138,161.69
95,8326.8989,7833.0525,2.3310,171.25
100,8532.8757,7827.3294,2.4249,179.02
