iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1520.0145,1520.0145,0.0667,633.49
5,1423.4684,1402.0259,0.4041,660.42
10,1420.9882,1390.9858,0.7413,678.98
15,1409.5292,1382.1076,1.0763,584.51
20,1413.7187,1377.9923,1.4117,593.09
25,1412.6875,1372.9750,1.7470,635.92
30,1411.3902,1370.3075,2.0826,642.08
35,1402.0547,1369.7837,2.4176,683.64
40,1408.8110,1368.5507,2.7517,616.39
45,1406.5138,1366.7046,3.0866,653.87
50,1404.6850,1366.6303,3.4217,654.28
55,1405.3306,1363.1174,3.7569,616.80
60,1405.4797,1361.9255,4.0915,613.59
65,1403.7270,1361.7042,4.4248,644.86
70,1399.6444,1361.5606,4.7588,569.54
75,1406.3112,1361.4125,5.0919,632.54
80,1403.9064,1361.4125,5.4257,624.04
85,1401.1380,1361.4125,5.7611,613.98
90,1403.8041,1360.5210,6.0946,638.36
95,1404.0004,1360.5210,6.4286,662.95
100,1405.9843,1360.5210,6.6967,576.04
