iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,9312.7689,9312.7689,0.0157,587.36
5,7839.5166,7685.9507,0.0935,557.62
10,7700.2772,7535.5271,0.1716,599.39
15,7615.8778,7433.0066,0.2494,605.45
20,7671.8049,7396.5436,0.3275,575.64
25,7621.4021,7359.4992,0.4051,615.95
30,7580.9885,7322.1925,0.4831,622.68
35,7597.2434,7294.2418,0.5609,594.15
40,7590.3450,7276.6117,0.6388,600.11
45,7575.5278,7265.2551,0.7165,605.75
50,7574.6156,7253.9558,0.7939,612.70
55,7538.3222,7242.6499,0.8714,618.08
60,7582.0206,7240.0589,0.9491,624.31
65,7563.5744,7234.7888,1.0268,630.21
70,7526.9063,7217.9259,1.1045,637.19
75,7563.0341,7198.4380,1.1830,570.95
80,7594.2800,7192.0616,1.2615,648.16
85,7562.3485,7186.1153,1.3396,583.79
90,7570.9385,7168.2561,1.4181,518.47
95,7587.7090,7163.3129,1.4958,596.26
100,7563.9563,7154.5646,1.5583,529.96
