seed,best_cost
0,1086.1343
1,1080.0345
2,1076.3656
3,1083.9645
4,1085.1770
5,1090.4776
6,1090.4208
7,1086.9883
8,1090.7205
9,1083.9069
10,1079.2610
11,1115.1797
12,1099.7146
13,1086.8982
14,1097.7069
15,1077.9376
16,1105.6064
17,1108.6117
18,1085.5486
19,1051.7754
20,1105.7714
21,1103.1912
22,1080.1123
23,1079.7611
24,1084.5407
25,1056.1494
26,1089.5242
27,1110.0880
28,1092.8960
29,1104.3649
